Title,Author1,Author2,Author3,Author4,Author5,Link,Summary,Cited By
… of expertise to improve science education and computer science quality (cross-fertilization principle)(Case study: Computer science program course FPMIPA UPI),BL Putro,,,,,https://ieeexplore.ieee.org/abstract/document/8257203/,"RRJ Putra, BL Putro - 2017 3rd International Conference on …, 2017 - ieeexplore.ieee.org",3
Enhanced Digital Library with Book Recommendations Based on Collaborative Filtering,E Junaeti,,,,,http://www.journaleet.in/index.php/jeet/article/view/157882,"E Nugraha, T Ardiansyah, E Junaeti… - Journal of Engineering …, 2020 - journaleet.in",0
Natural Language Processing and Levenshtein Distance for Generating Error Identification Typed Questions on TOEFL,LS Riza,EF Rahman,,,,https://ejournal.upi.edu/index.php/JCS/article/view/24940,"LS Riza, FS Anwar, EF Rahman… - Journal of Computers …, 2020 - ejournal.upi.edu",2
Monitoring system with two central facilities protocol,W Wahyudin,EP Nugroho,,,,https://ejournal.upi.edu/index.php/ijost/article/view/5986,"C Firdaus, W Wahyudin, EP Nugroho - Indonesian Journal of …, 2017 - ejournal.upi.edu",18
The application of ADDIE model in developing adventure game-based multimedia learning to improve students' understanding of basic programming,EF Rahman,,,,,https://ieeexplore.ieee.org/abstract/document/8257130/,"DR Hidayanto, EF Rahman… - 2017 3rd International …, 2017 - ieeexplore.ieee.org",8
SMS authentication code generated by Advance Encryption Standard (AES) 256 bits modification algorithm and One time Password (OTP) to activate new applicant …,EP Nugroho,,,,,https://ieeexplore.ieee.org/abstract/document/7852629/,"EP Nugroho, RRJ Putra… - 2016 2nd International …, 2016 - ieeexplore.ieee.org",9
Development of Computational Story for Teaching Algorithm and Programming,LS Riza,Y Wihardi,,,,https://ieeexplore.ieee.org/abstract/document/8878556/,"LS Riza, IA Aryani, Y Wihardi… - 2018 2nd East …, 2018 - ieeexplore.ieee.org",1
Implementation of CM-SPADE Algorithm In Building Denial of Service Detection System Model Using Snort,EP Nugroho,R Megasari,E Junaeti,,,https://scholar.archive.org/work/ecm6o7ze3rb2rjwbbvpehwnfdi/access/wayback/https://eudl.eu/pdf/10.4108/eai.12-10-2019.2296332,"EP Nugroho, R Megasari, E Junaeti, SR Pribadi - 2020 - scholar.archive.org",0
Analisis dan Pengukuran Technology Acceptance Model (TAM) dan End User Computing Satisfaction (EUCS) Terhadap Penerimaan Penerapan Sistem Input Nilai …,,,,,,http://kepo.unikom.ac.id/29684/,E Nugraha - 2014 - kepo.unikom.ac.id,2
Collaborative Information System Monitoring and Evaluation Tools Model,A Wahyudin,H Siregar,,,,https://ieeexplore.ieee.org/abstract/document/9392047/,"A Wahyudin, H Siregar… - 2020 6th International …, 2020 - ieeexplore.ieee.org",0
Development Mobile Learning For Vegetable Farming In Indonesia Based On Mobile Cloud Computing,Y Wihardi,E Nugraha,,,,https://ieeexplore.ieee.org/abstract/document/9392074/,"Y Wihardi, E Nugraha - 2020 6th International Conference on …, 2020 - ieeexplore.ieee.org",0
A development of cloud-based PHP learning system,EP Nugroho,,,,,https://ieeexplore.ieee.org/abstract/document/8257198/,"EP Nugroho, R Cahyana - 2017 3rd International …, 2017 - ieeexplore.ieee.org",1
An expert system for diagnosis of sleep disorder using fuzzy rule-based classification systems,LS Riza,EF Rahman,,,,https://iopscience.iop.org/article/10.1088/1757-899X/185/1/012011/meta,"LS Riza, M Pradini, EF Rahman - IOP Conference Series …, 2017 - iopscience.iop.org",12
Vocational Education in the Industrial 4.0 Era,A Hamdani,A Abdulkarim,D Cahyani,,,https://www.atlantis-press.com/article/125952263.pdf,"A Hamdani, A Abdulkarim, D Cahyani… - 6th UPI International …, 2021 - atlantis-press.com",0
A new approach on prediction of fever disease by using a combination of Dempster Shafer and Naïve bayes,EF Rahman,LS Riza,,,,https://ieeexplore.ieee.org/abstract/document/7852664/,"Y Mulyani, EF Rahman, LS Riza - 2016 2nd International …, 2016 - ieeexplore.ieee.org",14
"Experimental Study on Zoning, Histogram, and Structural Methods to Classify Sundanese Characters from Handwriting",,,,,,https://ieeexplore.ieee.org/abstract/document/8878640/,"E Nugraha, ACR Muhammad… - 2018 2nd East …, 2018 - ieeexplore.ieee.org",0
Identification of tomato plant diseases by Leaf image using squeezenet model,M Nursalman,,,,,https://ieeexplore.ieee.org/abstract/document/8696087/,"A Hidayatuloh, M Nursalman… - … Systems and Innovation …, 2018 - ieeexplore.ieee.org",12
Sistem Rekomendasi Film Menggunakan Metode Collaborative Filtering dan K-Nearest Neighbors,EP Nugroho,,,,,https://ejournal.upi.edu/index.php/JATIKOM/article/view/33208,"ER Agustian, EP Nugroho - Jurnal Aplikasi dan Teori Ilmu Komputer - ejournal.upi.edu",0
The use of scale invariant feature transform (SIFT) algorithms to identification garbage images based on product label,W Setiawan,A Wahyudin,,,,https://ieeexplore.ieee.org/abstract/document/8257135/,"W Setiawan, A Wahyudin… - 2017 3rd International …, 2017 - ieeexplore.ieee.org",5
Integrasi Sistem Data Pemilih Menggunakan Web Service dengan Metode Representational State Transfer (REST),A Wahyudin,H Siregar,,,,https://ejournal.upi.edu/index.php/JATIKOM/article/view/33210,"RD Hapsari, A Wahyudin, H Siregar - Jurnal Aplikasi dan Teori …, 2019 - ejournal.upi.edu",0
Behavioral tracking analysis on learning management system with apriori association rules algorithm,BL Putro,EP Nugroho,,,,https://ieeexplore.ieee.org/abstract/document/8257141/,"D Aviano, BL Putro, EP Nugroho… - 2017 3rd International …, 2017 - ieeexplore.ieee.org",4
Strengthening of Indonesia school of management in the 21st century through the implementation of school management system based information technology and …,W Setiawan,Munir,SH Senen,,,https://aip.scitation.org/doi/abs/10.1063/1.4983988,"W Setiawan, Munir, SH Senen… - AIP Conference …, 2017 - aip.scitation.org",2
DIGITAL SIGNATURE MENGGUNAKAN METODE SPREAD SPECTRUM SEBAGAI PERLINDUNGAN HAK CIPTA PADA CITRA DIGITAL MPEG-4,EF Rahman,,,,,https://ejournal.upi.edu/index.php/JATIKOM/article/view/33211,"FS Imami, RRJ Putra, EF Rahman - Jurnal Aplikasi dan Teori Ilmu …, 2019 - ejournal.upi.edu",0
